"Step","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return__MAX","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return__MAX","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return__MAX"
"1","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"2","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0"
"3","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"4","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"5","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"7","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"10","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"11","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"12","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"14","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"15","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"16","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"17","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"18","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929"
"19","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"20","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"21","0","0","0","0","0","0","0","0","0"
"22","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","","",""
"23","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"24","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"25","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"26","0.9000000357627869","0.9000000357627869","0.9000000357627869","0","0","0","0","0","0"
"27","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0"
"29","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"30","0","0","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0","0","0"
"32","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"33","0","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0","0"
"35","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"36","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","0","0"
"38","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"39","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"40","0","0","0","0","0","0","0","0","0"
"41","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"42","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"43","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"44","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"45","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"48","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0"
"50","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"51","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0"
"53","0","0","0","0","0","0","0","0","0"
"54","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0"
"55","0","0","0","0","0","0","0","0","0"
"56","0","0","0","0","0","0","0","0","0"
"57","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0"
"58","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929"
"59","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"61","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"62","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929"
"64","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"65","0","0","0","0","0","0","0","0","0"
"66","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"67","0","0","0","0","0","0","0","0","0"
